GEOCODE,LEGDIST22,LEGDIST22NAME,P00010001,RANK_POP,POPDEN,H00010001,H00010002,H00010003,OCC,VAC,LANDSQMI,AREASQMI,WATERPCT,P00010002,P00010003,P00010004,P00010005,P00010006,P00010007,P00010008,P00010009,P00020001,P00020002,P00020003,P00020004,P00020005,P00020006,P00020007,P00020008,P00020009,P00020010,P00020011,P00030001,P00030002,P00030003,P00030004,P00030005,P00030006,P00030007,P00030008,P00030009,P00040001,P00040002,P00040003,P00040004,P00040005,P00040006,P00040007,P00040008,P00040009,P00040010,P00040011,C0010001,C0010002,C0010003,C0010004,C0010005,C0010006,C0020001,C0020002,C0020003,C0020004,C0020005,C0020006,C0030001,C0030002,C0030003,C0030004,C0030005,C0030006,C0040001,C0040002,C0040003,C0040004,C0040005,C0040006,P00010010,P00010011,P00010012,P00010013,P00010014,P00010015,P00010016,P00010017,P00010018,P00010019,P00010020,P00010021,P00010022,P00010023,P00010024,P00010025,T0050001,P00050001,P00050002,P00050003,P00050004,P00050005,P00050006,P00050007,P00050008,P00050009,P00050010
5336,36,District 36,157171,17,9629.74,80593,76219,4374,94.57,5.43,16.32142427,36.25565601,54.98240533,140998,114814,3441,852,18287,297,3307,16173,157171,10625,146546,135176,111948,3309,590,18117,273,939,11370,133538,122467,99112,2908,708,16638,238,2863,11071,133538,8481,125057,117554,96718,2825,497,16523,219,772,7503,130178,5657,3452,24562,999,9799,122735,5228,2601,23985,893,3250,109629,4343,2768,20150,706,7809,103803,4113,2119,19821,641,2519,14999,1317,1781,5164,211,5754,105,168,17,129,41,6,54,150,92,10,1174,3940,736,0,0,732,4,3204,1390,0,1814
5337,37,District 37,156777,42,8476.73,67671,63804,3867,94.29,5.71,18.49498337,24.33440155,23.99655551,140780,59773,29118,1363,42642,728,7156,15997,156777,14625,142152,130878,57565,28660,710,42353,701,889,11274,129010,117896,52539,21462,1080,36817,563,5435,11114,129010,10940,118070,110343,50803,21177,578,36599,550,636,7727,73530,33839,4132,48719,1652,12842,67176,32663,2770,47915,1516,2627,62030,24459,3257,40562,1238,9809,57302,23752,2252,40093,1159,2041,14253,2370,1203,3984,176,4373,407,482,68,369,131,8,137,306,204,35,1744,3859,828,68,159,491,110,3031,1546,0,1485
5338,38,District 38,156597,46,2081.83,63783,60596,3187,95,5,75.22077515,120.4103926,37.52966542,138086,100987,6201,4896,12223,1667,12112,18511,156597,24691,131906,120837,96383,6000,3953,12050,1624,827,11069,122634,111012,83443,4692,3529,9941,1135,8272,11622,122634,15952,106682,99654,80647,4572,2906,9842,1105,582,7028,118207,9578,9711,16358,2691,20290,106598,8802,7810,15782,2530,2511,94242,6332,6832,12210,1716,13787,87125,5956,5669,11929,1621,1922,16947,1993,3463,2774,307,7176,192,187,50,193,91,37,138,227,103,16,1564,2412,781,377,24,380,0,1631,95,680,856
5339,39,District 39,157080,22,56.48,60709,55951,4758,92.16,7.84,2781.027547,2809.958532,1.029587614,140832,123879,2059,2137,5297,579,6881,16248,157080,15646,141434,130659,120434,1955,1645,5219,548,858,10775,119257,109484,97164,1418,1584,4215,404,4699,9773,119257,9633,109624,103012,95208,1368,1238,4165,389,644,6612,139401,4214,6808,8872,1505,13800,130737,3809,5618,8426,1392,3040,106509,2386,4715,5943,891,9173,101535,2230,3999,5752,836,2253,15072,1402,3734,2589,394,6263,85,81,19,84,35,14,120,168,72,12,1176,716,294,0,48,246,0,422,0,0,422
5340,40,District 40,157080,22,384.77,72894,63614,9280,87.27,12.73,408.249088,1005.478223,59.39752062,140641,121806,1357,1741,5259,501,9977,16439,157080,21304,135776,126412,117586,1255,1096,5158,463,854,9364,128373,117342,103375,1086,1260,4494,383,6744,11031,128373,13847,114526,108003,100673,1026,839,4429,362,674,6523,137606,2955,5481,8678,1224,18636,126638,2577,4114,8296,1047,3020,113955,2014,3954,6626,875,12605,106952,1813,3103,6413,779,2339,15500,1071,2875,2675,267,8011,59,42,12,62,36,20,133,140,67,30,939,4982,584,62,44,408,70,4398,3812,0,586
5341,41,District 41,157194,16,3416.16,59789,56933,2856,95.22,4.78,46.01481358,59.78938667,23.03849204,143401,82299,3179,463,54014,254,3192,13793,157194,8900,148294,138770,80468,3086,258,53868,233,857,9524,119168,111431,66425,2353,353,39825,183,2292,7737,119168,6081,113087,108146,65182,2303,187,39734,170,570,4941,95307,4983,2165,60173,884,8642,89405,4583,1558,59635,789,2487,73637,3374,1565,42395,555,6018,69725,3140,1132,42129,503,1732,12798,1003,1040,5112,149,4750,85,129,21,116,41,5,44,190,102,11,995,1258,378,0,0,376,2,880,200,0,680
5342,42,District 42,156944,39,78.07,70168,62068,8100,88.46,11.54,2010.397332,2371.835227,15.23874386,141963,118745,1589,5658,7183,546,8242,14981,156944,18289,138655,129568,114572,1493,4966,7057,506,974,9087,123433,113749,96608,1181,3904,5867,429,5760,9684,123433,11875,111558,105596,94083,1120,3453,5786,410,744,5962,132875,3497,9803,10075,1296,15488,123113,3092,8341,9643,1149,2997,105693,2185,6822,7549,894,10599,99659,1972,5893,7324,824,2204,13991,1241,3123,1974,271,6566,110,73,19,76,130,35,150,144,56,23,990,1828,946,160,149,637,0,882,23,0,859
5343,43,District 43,157133,20,15630.77,94548,86943,7605,91.96,8.04,10.05280024,16.11786927,37.62947152,141982,97777,6584,911,32265,357,4088,15151,157133,11776,145357,135003,94625,6370,634,32085,327,962,10354,145451,133088,91046,5954,811,31101,332,3844,12363,145451,10470,134981,126627,88142,5781,572,30944,309,879,8354,111853,9161,3274,38310,1102,10059,104177,8513,2366,37724,978,2745,102586,7936,2783,35664,904,8993,95864,7491,2069,35278,819,2409,13855,1398,1337,4831,185,5086,136,214,28,168,54,14,54,231,106,13,1296,13874,1500,115,1,1311,73,12374,10631,0,1743
5344,44,District 44,157151,18,1487.54,56892,55104,1788,96.86,3.14,105.6448238,107.3700129,1.606769923,141717,101643,3718,862,29263,611,5620,15434,157151,12976,144175,133715,98861,3564,644,29120,588,938,10460,117387,108340,79982,2555,639,20906,409,3849,9047,117387,8272,109115,103098,78270,2469,484,20835,397,643,6017,116229,5874,3867,34304,1449,12107,108724,5399,3147,33740,1340,3049,88474,3580,2678,23250,875,8165,83883,3355,2243,22992,811,2192,14297,1378,2250,3853,260,5737,72,140,14,115,56,9,86,186,123,18,1137,964,407,0,1,406,0,557,0,0,557
5345,45,District 45,157231,12,1596.28,60261,58009,2252,96.26,3.74,98.49866563,103.6449092,4.965264166,141875,98258,2806,638,35482,214,4477,15356,157231,11466,145765,135596,95831,2724,363,35336,187,1155,10169,118356,109192,78139,1944,483,25233,133,3260,9164,118356,7785,110571,104809,76554,1897,278,25119,117,844,5762,112909,4780,2820,41013,791,11390,105498,4377,2029,40575,707,3351,86825,3041,2015,27753,504,8017,81972,2820,1473,27499,456,2436,14348,1223,1486,4568,170,6247,60,148,16,107,43,9,59,131,70,11,1008,683,188,0,36,152,0,495,0,0,495
5346,46,District 46,157135,19,8910.5,72126,68302,3824,94.7,5.3,17.63480564,21.62233184,18.44170289,139513,100935,7498,1030,24746,347,4957,17622,157135,12781,144354,131906,98119,7290,637,24534,301,1025,12448,131442,119576,86599,5691,852,22153,261,4020,11866,131442,9817,121625,113437,84324,5545,547,21978,236,807,8188,117469,10203,3749,32096,1152,11581,109799,9573,2681,31402,1033,3186,97743,7377,2951,26352,824,8966,92000,7002,2187,25960,764,2455,16273,1552,1717,6010,239,5720,132,187,25,141,65,4,97,255,117,12,1349,4285,310,0,31,279,0,3975,2751,0,1224
5347,47,District 47,157002,31,2509.05,54746,52963,1783,96.74,3.26,62.57418027,64.58803438,3.117998771,140420,80833,13629,1409,30150,3114,11285,16582,157002,20709,136293,125473,77568,13221,849,29917,3039,879,10820,119577,109503,65822,9514,1114,23314,2152,7587,10074,119577,13309,106268,99784,63871,9297,711,23177,2108,620,6484,95585,17464,4719,35391,4458,17807,87003,16495,3477,34660,4234,2423,74779,11376,3441,26104,2929,12004,69482,10891,2648,25787,2819,1782,14963,2052,2028,3350,353,5446,222,345,100,224,87,10,115,400,172,59,1619,1313,551,0,11,540,0,762,197,0,565
5348,48,District 48,157217,13,4733.92,73072,67930,5142,92.96,7.04,33.21075696,40.19878895,17.38368785,144923,74438,3526,565,60704,231,5459,12294,157217,11491,145726,137976,72440,3418,302,60591,220,1005,7750,125223,117251,63078,2751,431,46742,162,4087,7972,125223,8444,116779,112056,61582,2674,222,46665,155,758,4723,85965,5068,2099,65561,795,11009,79663,4679,1404,65156,712,2394,70567,3673,1593,49213,533,8199,65968,3439,1086,49007,487,1813,11440,869,922,3928,149,4854,61,111,16,102,32,8,67,159,148,14,854,1567,324,0,0,324,0,1243,622,0,621
5349,49,District 49,156752,43,3265.28,67105,63999,3106,95.37,4.63,48.00571354,56.67127261,15.2909202,138368,109371,5422,2028,6330,2780,12437,18384,156752,26320,130432,120076,104035,5151,1132,6207,2698,853,10356,123340,111672,90529,4085,1591,5318,1824,8325,11668,123340,16757,106583,99839,87348,3929,950,5247,1780,585,6744,126618,8730,6523,9675,3895,21284,113728,7904,4615,9197,3671,2583,101470,5702,4846,7232,2487,14142,93640,5302,3567,6990,2381,1918,16975,2200,3258,2223,400,7791,149,120,20,153,39,14,245,248,60,55,1409,1757,751,298,0,449,4,1006,148,0,858
