GEOCODE,LEGDIST22,LEGDIST22NAME,P00010001,RANK_POP,POPDEN,H00010001,H00010002,H00010003,OCC,VAC,LANDSQMI,AREASQMI,WATERPCT,P00010002,P00010003,P00010004,P00010005,P00010006,P00010007,P00010008,P00010009,P00020001,P00020002,P00020003,P00020004,P00020005,P00020006,P00020007,P00020008,P00020009,P00020010,P00020011,P00030001,P00030002,P00030003,P00030004,P00030005,P00030006,P00030007,P00030008,P00030009,P00040001,P00040002,P00040003,P00040004,P00040005,P00040006,P00040007,P00040008,P00040009,P00040010,P00040011,C0010001,C0010002,C0010003,C0010004,C0010005,C0010006,C0020001,C0020002,C0020003,C0020004,C0020005,C0020006,C0030001,C0030002,C0030003,C0030004,C0030005,C0030006,C0040001,C0040002,C0040003,C0040004,C0040005,C0040006,P00010010,P00010011,P00010012,P00010013,P00010014,P00010015,P00010016,P00010017,P00010018,P00010019,P00010020,P00010021,P00010022,P00010023,P00010024,P00010025,T0050001,P00050001,P00050002,P00050003,P00050004,P00050005,P00050006,P00050007,P00050008,P00050009,P00050010
5315,15,District 15,156700,45,71.79,48746,46163,2583,94.7,5.3,2182.858017,2216.20327,1.504611666,127868,52649,1193,3928,1075,202,68821,28832,156700,114847,41853,39154,35382,952,1251,960,140,469,2699,105378,87262,38931,891,2650,808,135,43847,18116,105378,71617,33761,31872,29034,766,915,749,95,313,1889,80487,2175,7139,1864,486,94549,37925,1484,2587,1437,314,1083,56390,1349,4802,1272,311,60010,30808,1038,1928,1049,216,776,27752,470,1810,372,66,24091,34,25,12,177,24,7,514,32,94,24,1080,2777,993,753,0,214,26,1784,137,0,1647
5316,16,District 16,158905,4,70.85,60472,56919,3553,94.12,5.88,2242.687554,2317.80612,3.240933982,139480,108917,2339,1779,2718,487,23240,19425,158905,44524,114381,107087,100130,2137,1036,2618,445,721,7294,119296,107037,86044,1804,1387,2116,359,15327,12259,119296,27929,91367,86496,81068,1720,829,2056,320,503,4871,127553,3954,5707,4663,1093,36338,107054,3333,4080,4307,941,2389,97750,2571,4158,3198,746,23644,85641,2328,3056,3033,659,1742,18569,1022,3076,1313,180,12223,69,45,14,130,18,17,200,196,55,11,856,5661,3285,2434,13,829,9,2376,1933,0,443
5317,17,District 17,157488,9,80.35,60257,57178,3079,94.89,5.11,1960.143139,1998.266968,1.907844616,141669,120475,2818,1273,10376,1250,5477,15819,157488,14426,143062,132766,116943,2670,926,10263,1199,765,10296,120318,110716,94767,2055,997,8229,876,3792,9602,120318,9102,111216,105007,92692,1972,772,8144,851,576,6209,135588,4991,5267,14297,2298,12165,126741,4516,4261,13813,2123,2671,103905,3072,3806,10122,1438,8244,98568,2835,3178,9879,1357,1978,14670,1410,3162,3008,418,6016,72,73,23,93,28,11,69,203,53,31,1149,1600,796,485,0,311,0,804,0,0,804
5318,18,District 18,157021,29,1918.65,57952,55954,1998,96.55,3.45,81.83924327,81.99574052,0.190860219,141217,121955,3005,1403,6898,1197,6759,15804,157021,16295,140726,130629,118165,2886,913,6787,1154,724,10097,119539,109716,95451,2233,1062,5574,829,4567,9823,119539,10177,109362,103011,93264,2172,697,5510,809,559,6351,137023,5370,5397,10474,2257,13681,127782,4887,4189,10057,2082,2680,104759,3364,3894,7436,1469,9155,99272,3151,3126,7246,1395,1982,14569,1554,3095,2592,425,6196,74,85,13,103,44,6,99,197,65,21,1235,818,256,0,0,188,68,562,0,0,562
5319,19,District 19,158334,6,60.9,72662,62695,9967,86.28,13.72,2599.814389,2998.18235,13.2869824,143505,127801,1597,3681,2539,756,7131,14829,158334,15963,142371,132299,123713,1498,3191,2477,723,697,10072,125140,115471,104150,1271,2741,2089,511,4709,9669,125140,9698,115442,108573,101845,1225,2422,2046,488,547,6869,142007,3211,9663,4492,1535,13445,133409,2859,8417,4207,1396,2886,113385,2035,6939,3126,1013,8915,108434,1888,6206,2992,944,2247,13813,1005,5062,1212,282,5688,50,22,9,61,52,10,128,171,42,19,1016,3551,2821,2280,131,410,0,730,0,0,730
5320,20,District 20,156954,35,50.2,62941,57681,5260,91.64,8.36,3126.857434,3189.992787,1.979169126,143500,131761,1027,1790,1982,372,6568,13454,156954,14137,142817,133649,128071,962,1463,1919,358,876,9168,119696,111186,102726,775,1411,1649,255,4370,8510,119696,8482,111214,105143,100739,745,1167,1606,249,637,6071,144842,2420,6696,4037,1072,12365,137022,2116,5789,3770,972,2927,111012,1415,4828,2712,625,8136,106687,1295,4271,2590,591,2163,12567,936,4233,1458,332,5258,33,33,11,38,14,10,91,67,41,12,887,924,464,56,131,248,29,460,0,0,460
5321,21,District 21,157052,25,4445.52,63681,61037,2644,95.85,4.15,35.3281633,57.31935824,38.36608716,139978,90917,9213,1372,27078,1202,10196,17074,157052,20035,137017,126424,87603,8971,748,26899,1176,1027,10593,124223,113444,75807,6574,1079,22086,865,7033,10779,124223,13321,110902,104397,73748,6446,644,21973,852,734,6505,106735,12169,4408,32493,2308,17568,97329,11457,3075,31867,2166,2681,85826,8084,3283,24891,1564,12265,79721,7745,2394,24585,1489,2025,15679,1837,1983,3900,302,6435,115,220,18,158,60,12,139,345,118,37,1395,946,398,0,0,398,0,548,0,0,548
5322,22,District 22,156969,34,1517.82,67453,64294,3159,95.32,4.68,103.4172154,133.975742,22.80899966,138729,113018,5547,1948,11084,1938,5194,18240,156969,15162,141807,129353,108939,5232,1533,10862,1881,906,12454,124667,113473,93528,4216,1507,9020,1425,3777,11194,124667,9939,114728,107117,90947,4032,1190,8888,1390,670,7611,129919,9436,6645,16153,3376,11776,120493,8403,5246,15434,3092,2918,103935,6035,4799,11615,2118,8361,98014,5533,3923,11290,1996,2203,16375,2336,3332,3440,455,5522,162,204,70,233,57,33,84,300,104,43,1865,3879,1276,341,30,826,79,2603,1085,0,1518
5323,23,District 23,156995,32,948.65,66377,61804,4573,93.11,6.89,165.4930563,289.915822,42.91685939,139270,116198,4245,2934,9394,1577,4922,17725,156995,14120,142875,130231,112247,3956,2441,9166,1486,935,12644,125082,114236,96125,3324,2092,7964,1149,3582,10846,125082,9295,115787,108041,93500,3148,1754,7818,1100,721,7746,132538,7468,7211,15385,3215,10905,123848,6657,5989,14517,2896,2886,106130,4940,5104,11097,2002,7642,100613,4504,4317,10704,1848,2160,15941,1913,3035,4096,519,5091,144,211,71,174,119,23,76,358,89,22,1784,3496,835,0,0,835,0,2661,29,2070,562
5324,24,District 24,157873,7,32.36,80890,69305,11585,85.68,14.32,4879.238222,6444.079408,24.28339391,144546,128788,1198,7506,2478,251,4325,13327,157873,10550,147323,137541,126010,1127,6788,2422,238,956,9782,131609,122400,110754,967,5250,2195,215,3019,9209,131609,6803,124806,117917,109031,934,4837,2150,202,763,6889,141545,2642,13152,4575,949,9408,135386,2382,11788,4326,833,3056,119580,1705,9235,3409,667,6836,115642,1593,8430,3280,601,2521,12400,902,4721,1381,260,4610,95,20,8,51,91,41,60,123,25,12,927,3077,2029,1370,16,643,0,1048,31,96,921
